SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
LICHSGFIN.NS,LIC Housing Finance Limited,EQ,29-Jul-98,2,1,INE115A01026,2
LICI.NS,Life Insurance Corporation Of India,EQ,17-May-22,10,1,INE0J1Y01017,10
LIKHITHA.NS,Likhitha Infrastructure Limited,EQ,15-Oct-20,5,1,INE060901027,5
LINC.NS,Linc Limited,EQ,9-Mar-15,10,1,INE802B01019,10
LINCOLN.NS,Lincoln Pharmaceuticals Limited,EQ,17-Dec-15,10,1,INE405C01035,10
LINDEINDIA.NS,Linde India Limited,EQ,16-Jun-99,10,1,INE473A01011,10
LODHA.NS,Macrotech Developers Limited,EQ,19-Apr-21,10,1,INE670K01029,10
LOKESHMACH.NS,Lokesh Machines Limited,EQ,5-May-06,10,1,INE397H01017,10
LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited,EQ,11-Jul-08,10,1,INE947I01017,10
LOVABLE.NS,Lovable Lingerie Limited,EQ,24-Mar-11,10,1,INE597L01014,10
LOYALTEX.NS,Loyal Textile Mills Limited,EQ,11-Aug-22,10,1,INE970D01010,10
LPDC.NS,Landmark Property Development Company Limited,EQ,12-Aug-08,1,1,INE197J01017,1
LSIL.NS,Lloyds Steels Industries Limited,EQ,18-Jul-16,1,1,INE093R01011,1
LT.NS,Larsen & Toubro Limited,EQ,23-Jun-04,2,1,INE018A01030,2
LTIM.NS,LTIMindtree Limited,EQ,21-Jul-16,1,1,INE214T01019,1
LTTS.NS,L&T Technology Services Limited,EQ,23-Sep-16,2,1,INE010V01017,2
LUMAXIND.NS,Lumax Industries Limited,EQ,6-Sep-95,10,1,INE162B01018,10
LUMAXTECH.NS,Lumax Auto Technologies Limited,EQ,16-Jan-07,2,1,INE872H01027,2
LUPIN.NS,Lupin Limited,EQ,10-Sep-01,2,1,INE326A01037,2
LUXIND.NS,Lux Industries Limited,EQ,30-Nov-15,2,1,INE150G01020,2
LXCHEM.NS,Laxmi Organic Industries Limited,EQ,25-Mar-21,2,1,INE576O01020,2
LYKALABS.NS,Lyka Labs Limited,EQ,8-Feb-95,10,1,INE933A01014,10
LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited,EQ,5-Nov-13,10,1,INE142K01011,10
M&M.NS,Mahindra & Mahindra Limited,EQ,3-Jan-96,5,1,INE101A01026,5
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,EQ,17-Mar-06,2,1,INE774D01024,2
MAANALU.NS,Maan Aluminium Limited,EQ,22-Oct-07,10,1,INE215I01019,10
MACPOWER.NS,Macpower CNC Machines Limited,EQ,19-Aug-20,10,1,INE155Z01011,10
MADHAV.NS,Madhav Marbles and Granites Limited,EQ,20-Dec-07,10,1,INE925C01016,10
MADHUCON.NS,Madhucon Projects Limited,BE,5-Oct-06,1,1,INE378D01032,1
MADRASFERT.NS,Madras Fertilizers Limited,EQ,25-Jul-97,10,1,INE414A01015,10
