SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NLCINDIA.NS,NLC India Limited,EQ,23-Aug-00,10,1,INE589A01014,10
NMDC.NS,NMDC Limited,EQ,3-Mar-08,1,1,INE584A01023,1
NOCIL.NS,NOCIL Limited,EQ,17-Jan-96,10,1,INE163A01018,10
NOIDATOLL.NS,Noida Toll Bridge Company Limited,EQ,6-Dec-02,10,1,INE781B01015,10
NORBTEAEXP.NS,Norben Tea & Exports Limited,EQ,26-Jun-96,10,1,INE369C01017,10
NOVARTIND.NS,Novartis India Limited,EQ,8-Nov-00,5,1,INE234A01025,5
NRAIL.NS,N R Agarwal Industries Limited,EQ,5-Apr-17,10,1,INE740D01017,10
NRBBEARING.NS,NRB Bearing Limited,EQ,8-Mar-00,2,1,INE349A01021,2
NRL.NS,Nupur Recyclers Limited,EQ,12-Jan-23,10,1,INE0JM501013,10
NSIL.NS,Nalwa Sons Investments Limited,EQ,17-Nov-03,10,1,INE023A01030,10
NSLNISP.NS,NMDC Steel Limited,EQ,20-Feb-23,10,1,INE0NNS01018,10
NTPC.NS,NTPC Limited,EQ,5-Nov-04,10,1,INE733E01010,10
NUCLEUS.NS,Nucleus Software Exports Limited,EQ,19-Dec-02,10,1,INE096B01018,10
NURECA.NS,Nureca Limited,EQ,25-Feb-21,10,1,INE0DSF01015,10
NUVOCO.NS,Nuvoco Vistas Corporation Limited,EQ,23-Aug-21,10,1,INE118D01016,10
NXTDIGITAL.NS,NXTDIGITAL LIMITED,EQ,24-Apr-07,10,1,INE353A01023,10
NYKAA.NS,FSN E-Commerce Ventures Limited,EQ,10-Nov-21,1,1,INE388Y01029,1
OAL.NS,Oriental Aromatics Limited,EQ,11-Jul-19,5,1,INE959C01023,5
OBCL.NS,Orissa Bengal Carrier Limited,EQ,7-Apr-22,10,1,INE426Z01016,10
OBEROIRLTY.NS,Oberoi Realty Limited,EQ,20-Oct-10,10,1,INE093I01010,10
OCCL.NS,Oriental Carbon & Chemicals Limited,EQ,27-Jan-16,10,1,INE321D01016,10
OFSS.NS,Oracle Financial Services Software Limited,EQ,28-Jun-02,5,1,INE881D01027,5
OIL.NS,Oil India Limited,EQ,30-Sep-09,10,1,INE274J01014,10
OILCOUNTUB.NS,Oil Country Tubular Limited,EQ,30-Aug-95,10,1,INE591A01010,10
OLECTRA.NS,Olectra Greentech Limited,EQ,20-Mar-02,4,1,INE260D01016,4
OMAXAUTO.NS,Omax Autos Limited,EQ,20-Feb-03,10,1,INE090B01011,10
OMAXE.NS,Omaxe Limited,EQ,9-Aug-07,10,1,INE800H01010,10
OMINFRAL.NS,OM INFRA LIMITED,EQ,17-Jun-11,1,1,INE239D01028,1
ONELIFECAP.NS,Onelife Capital Advisors Limited,EQ,17-Oct-11,10,1,INE912L01015,10
ONEPOINT.NS,One Point One Solutions Limited,EQ,9-May-19,2,1,INE840Y01029,2
ONGC.NS,Oil & Natural Gas Corporation Limited,EQ,19-Jul-95,5,1,INE213A01029,5
ONMOBILE.NS,OnMobile Global Limited,EQ,19-Feb-08,10,1,INE809I01019,10
ONWARDTEC.NS,Onward Technologies Limited,EQ,7-Mar-01,10,1,INE229A01017,10
OPTIEMUS.NS,Optiemus Infracom Limited,EQ,8-Aug-17,10,1,INE350C01017,10
ORBTEXP.NS,Orbit Exports Limited,EQ,5-Nov-13,10,1,INE231G01010,10
ORCHPHARMA.NS,Orchid Pharma Limited,BE,2-Nov-20,10,1,INE191A01027,10
ORICONENT.NS,Oricon Enterprises Limited,EQ,24-Jul-15,2,1,INE730A01022,2
ORIENTABRA.NS,Orient Abrasives Limited,EQ,15-Dec-05,1,1,INE569C01020,1
ORIENTALTL.NS,Oriental Trimex Limited,EQ,7-Mar-07,10,1,INE998H01012,10
ORIENTBELL.NS,Orient Bell Limited,EQ,14-Feb-07,10,1,INE607D01018,10
ORIENTCEM.NS,Orient Cement Limited,EQ,12-Jul-13,1,1,INE876N01018,1
ORIENTELEC.NS,Orient Electric Limited,EQ,14-May-18,1,1,INE142Z01019,1
ORIENTHOT.NS,Oriental Hotels Limited,EQ,27-Aug-98,1,1,INE750A01020,1
ORIENTLTD.NS,Orient Press Limited,EQ,3-Mar-10,10,1,INE609C01024,10
ORIENTPPR.NS,Orient Paper & Industries Limited,EQ,29-Mar-95,1,1,INE592A01026,1
ORISSAMINE.NS,The Orissa Minerals Development Company Limited,EQ,29-Sep-10,1,1,INE725E01024,1
ORTEL.NS,Ortel Communications Limited,BZ,19-Mar-15,10,1,INE849L01019,10
ORTINLAB.NS,Ortin Laboratories Limited,EQ,30-Mar-21,10,1,INE749B01020,10
OSIAHYPER.NS,Osia Hyper Retail Limited,EQ,1-Dec-22,1,1,INE06IR01021,1
OSWALAGRO.NS,Oswal Agro Mills Limited,EQ,29-Mar-95,10,1,INE142A01012,10
OSWALSEEDS.NS,ShreeOswal Seeds And Chemicals Limited,EQ,28-Feb-23,10,1,INE00IK01011,10
PAGEIND.NS,Page Industries Limited,EQ,16-Mar-07,10,1,INE761H01022,10
PAISALO.NS,Paisalo Digital Limited,EQ,17-Oct-11,1,1,INE420C01059,1
PALASHSECU.NS,Palash Securities Limited,EQ,28-Jul-17,10,1,INE471W01019,10
PALREDTEC.NS,Palred Technologies Limited,EQ,9-May-16,10,1,INE218G01033,10
PANACEABIO.NS,Panacea Biotec Limited,EQ,17-Apr-96,1,1,INE922B01023,1
PANACHE.NS,Panache Digilife Limited,BE,6-Jan-20,10,1,INE895W01019,10
PANAMAPET.NS,Panama Petrochem Limited,EQ,30-Sep-11,2,1,INE305C01029,2
PANSARI.NS,Pansari Developers Limited,EQ,18-Oct-21,10,1,INE697V01011,10
PAR.NS,Par Drugs And Chemicals Limited,EQ,16-Sep-21,10,1,INE04LG01015,10
PARACABLES.NS,Paramount Communications Limited,EQ,3-Jan-07,2,1,INE074B01023,2
PARADEEP.NS,Paradeep Phosphates Limited,EQ,27-May-22,10,1,INE088F01024,10
PARAGMILK.NS,Parag Milk Foods Limited,EQ,19-May-16,10,1,INE883N01014,10
PARAS.NS,Paras Defence and Space Technologies Limited,EQ,1-Oct-21,10,1,INE045601015,10
PARASPETRO.NS,Paras Petrofils Limited,BE,14-Feb-96,1,1,INE162C01024,1
PARSVNATH.NS,Parsvnath Developers Limited,EQ,30-Nov-06,5,1,INE561H01026,5
PASUPTAC.NS,Pasupati Acrylon Limited,EQ,12-Oct-21,10,1,INE818B01023,10
PATANJALI.NS,Patanjali Foods Limited,BE,24-Jan-20,2,1,INE619A01035,2
PATELENG.NS,Patel Engineering Limited,EQ,24-Feb-05,1,1,INE244B01030,1
PATINTLOG.NS,Patel Integrated Logistics Limited,EQ,11-Jan-08,10,1,INE529D01014,10
PAYTM.NS,One 97 Communications Limited,EQ,18-Nov-21,1,1,INE982J01020,1
PCBL.NS,PCBL LIMITED,EQ,29-Mar-95,1,1,INE602A01031,1
PCJEWELLER.NS,PC Jeweller Limited,EQ,27-Dec-12,10,1,INE785M01013,10
PDMJEPAPER.NS,Pudumjee Paper Products Limited,EQ,30-Mar-16,1,1,INE865T01018,1
PDSL.NS,PDS Limited,EQ,21-Oct-14,2,1,INE111Q01021,2
PEARLPOLY.NS,Pearl Polymers Limited,EQ,11-Oct-95,10,1,INE844A01013,10
PEL.NS,Piramal Enterprises Limited,EQ,8-Feb-95,2,1,INE140A01024,2
PENIND.NS,Pennar Industries Limited,EQ,25-Nov-10,5,1,INE932A01024,5
PENINLAND.NS,Peninsula Land Limited,EQ,8-Feb-95,2,1,INE138A01028,2
PERSISTENT.NS,Persistent Systems Limited,EQ,6-Apr-10,10,1,INE262H01013,10
PETRONET.NS,Petronet LNG Limited,EQ,26-Mar-04,10,1,INE347G01014,10
PFC.NS,Power Finance Corporation Limited,EQ,23-Feb-07,10,1,INE134E01011,10
PFIZER.NS,Pfizer Limited,EQ,28-Apr-99,10,1,INE182A01018,10
PFOCUS.NS,Prime Focus Limited,EQ,20-Jun-06,1,1,INE367G01038,1
PFS.NS,PTC India Financial Services Limited,EQ,30-Mar-11,10,1,INE560K01014,10
PGEL.NS,PG Electroplast Limited,EQ,26-Sep-11,10,1,INE457L01011,10
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,EQ,7-Jul-04,10,1,INE179A01014,10
PGHL.NS,Procter & Gamble Health Limited,EQ,24-Apr-96,10,1,INE199A01012,10
PGIL.NS,Pearl Global Industries Limited,EQ,15-Feb-07,10,1,INE940H01014,10
PHOENIXLTD.NS,The Phoenix Mills Limited,EQ,23-Apr-07,2,1,INE211B01039,2
PIDILITIND.NS,Pidilite Industries Limited,EQ,29-Mar-95,1,1,INE318A01026,1
PIIND.NS,PI Industries Limited,EQ,15-Jun-11,1,1,INE603J01030,1
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited,EQ,8-Dec-15,10,1,INE417C01014,10
PILITA.NS,PIL ITALICA LIFESTYLE LIMITED,EQ,7-Oct-13,1,1,INE600A01035,1
PIONEEREMB.NS,Pioneer Embroideries Limited,EQ,16-May-06,10,1,INE156C01018,10
PITTIENG.NS,Pitti Engineering Limited,EQ,2-Feb-07,5,1,INE450D01021,5
PIXTRANS.NS,Pix Transmissions Limited,EQ,28-Apr-22,10,1,INE751B01018,10
PKTEA.NS,The Peria Karamalai Tea & Produce Company Limited,BE,19-Aug-15,10,1,INE431F01018,10
PLASTIBLEN.NS,Plastiblends India Limited,EQ,28-Dec-06,5,1,INE083C01022,5
PNB.NS,Punjab National Bank,EQ,24-Apr-02,2,1,INE160A01022,2
PNBGILTS.NS,PNB Gilts Limited,EQ,18-Sep-00,10,1,INE859A01011,10
PNBHOUSING.NS,PNB Housing Finance Limited,EQ,7-Nov-16,10,1,INE572E01012,10
PNC.NS,Pritish Nandy Communications Limited,EQ,11-Dec-00,10,1,INE392B01011,10
PNCINFRA.NS,PNC Infratech Limited,EQ,26-May-15,2,1,INE195J01029,2
POCL.NS,Pondy Oxides & Chemicals Limited,EQ,6-Mar-23,10,1,INE063E01046,10
PODDARHOUS.NS,Poddar Housing and Development Limited,BE,10-Apr-17,10,1,INE888B01018,10
PODDARMENT.NS,Poddar Pigments Limited,EQ,22-Nov-16,10,1,INE371C01013,10
POKARNA.NS,Pokarna Limited,EQ,7-Jul-16,2,1,INE637C01025,2
POLICYBZR.NS,PB Fintech Limited,EQ,15-Nov-21,2,1,INE417T01026,2
POLYCAB.NS,Polycab India Limited,EQ,16-Apr-19,10,1,INE455K01017,10
POLYMED.NS,Poly Medicure Limited,EQ,7-Dec-11,5,1,INE205C01021,5
POLYPLEX.NS,Polyplex Corporation Limited,EQ,11-Apr-03,10,1,INE633B01018,10
PONNIERODE.NS,Ponni Sugars (Erode) Limited,EQ,16-Apr-02,10,1,INE838E01017,10
POONAWALLA.NS,Poonawalla Fincorp Limited,EQ,27-Apr-04,2,1,INE511C01022,2
POWERGRID.NS,Power Grid Corporation of India Limited,EQ,5-Oct-07,10,1,INE752E01010,10
POWERINDIA.NS,Hitachi Energy India Limited,EQ,30-Mar-20,2,1,INE07Y701011,2
POWERMECH.NS,Power Mech Projects Limited,EQ,26-Aug-15,10,1,INE211R01019,10
PPAP.NS,PPAP Automotive Limited,EQ,11-Jan-08,10,1,INE095I01015,10
PPL.NS,Prakash Pipes Limited,EQ,14-Jun-19,10,1,INE050001010,10
PPLPHARMA.NS,Piramal Pharma Limited,EQ,19-Oct-22,10,1,INE0DK501011,10
PRAENG.NS,Prajay Engineers Syndicate Limited,EQ,2-Jan-07,10,1,INE505C01016,10
PRAJIND.NS,Praj Industries Limited,EQ,11-Oct-95,2,1,INE074A01025,2
PRAKASH.NS,Prakash Industries Limited,EQ,10-May-95,10,1,INE603A01013,10
PRAKASHSTL.NS,Prakash Steelage Limited,EQ,25-Aug-10,1,1,INE696K01024,1
PRAXIS.NS,Praxis Home Retail Limited,EQ,31-Jan-18,5,1,INE546Y01022,5
PRECAM.NS,Precision Camshafts Limited,EQ,8-Feb-16,10,1,INE484I01029,10
PRECOT.NS,Precot Limited,EQ,19-Aug-05,10,1,INE283A01014,10
PRECWIRE.NS,Precision Wires India Limited,EQ,6-Sep-95,1,1,INE372C01037,1
PREMEXPLN.NS,Premier Explosives Limited,EQ,17-Jun-16,10,1,INE863B01011,10
PREMIERPOL.NS,Premier Polyfilm Limited,EQ,13-Dec-95,5,1,INE309M01012,5
PRESSMN.NS,Pressman Advertising Limited,EQ,5-Jan-05,2,1,INE980A01023,2
PRESTIGE.NS,Prestige Estates Projects Limited,EQ,27-Oct-10,10,1,INE811K01011,10
PRICOLLTD.NS,Pricol Limited,EQ,10-Feb-17,1,1,INE726V01018,1
PRIMESECU.NS,Prime Securities Limited,EQ,17-Jun-05,5,1,INE032B01021,5
PRINCEPIPE.NS,Prince Pipes And Fittings Limited,EQ,30-Dec-19,10,1,INE689W01016,10
PRITI.NS,Priti International Limited,EQ,2-Mar-22,10,1,INE974Z01015,10
PRITIKAUTO.NS,Pritika Auto Industries Limited,EQ,10-Aug-21,2,1,INE583R01029,2
PRIVISCL.NS,Privi Speciality Chemicals Limited,EQ,8-May-15,10,1,INE959A01019,10
PROZONINTU.NS,Prozone Intu Properties Limited,EQ,12-Sep-12,2,1,INE195N01013,2
PRSMJOHNSN.NS,Prism Johnson Limited,EQ,20-Aug-03,10,1,INE010A01011,10
PRUDENT.NS,Prudent Corporate Advisory Services Limited,EQ,20-May-22,5,1,INE00F201020,5
PSB.NS,Punjab & Sind Bank,EQ,30-Dec-10,10,1,INE608A01012,10
PSPPROJECT.NS,PSP Projects Limited,EQ,29-May-17,10,1,INE488V01015,10
PTC.NS,PTC India Limited,EQ,7-Apr-04,10,1,INE877F01012,10
PTL.NS,PTL Enterprises Limited,EQ,29-Jan-07,1,1,INE034D01049,1
PUNJABCHEM.NS,Punjab Chemicals & Crop Protection Limited,EQ,8-Mar-07,10,1,INE277B01014,10
PURVA.NS,Puravankara Limited,EQ,30-Aug-07,5,1,INE323I01011,5
PVP.NS,PVP Ventures Limited,EQ,3-Apr-96,10,1,INE362A01016,10
PVR.NS,PVR Limited,EQ,4-Jan-06,10,1,INE191H01014,10
QUESS.NS,Quess Corp Limited,EQ,12-Jul-16,10,1,INE615P01015,10
QUICKHEAL.NS,Quick Heal Technologies Limited,EQ,18-Feb-16,10,1,INE306L01010,10
RADHIKAJWE.NS,Radhika Jeweltech Limited,EQ,18-Jul-22,10,1,INE583V01013,10
RADIANTCMS.NS,Radiant Cash Management Services Limited,EQ,4-Jan-23,1,1,INE855R01021,1
RADICO.NS,Radico Khaitan Limited,EQ,18-Jun-03,2,1,INE944F01028,2
RADIOCITY.NS,Music Broadcast Limited,EQ,17-Mar-17,2,1,INE919I01024,2
RAILTEL.NS,Railtel Corporation Of India Limited,EQ,26-Feb-21,10,1,INE0DD101019,10
RAIN.NS,Rain Industries Limited,EQ,3-Mar-08,2,1,INE855B01025,2
RAINBOW.NS,Rainbow Childrens Medicare Limited,EQ,10-May-22,10,1,INE961O01016,10
RAJESHEXPO.NS,Rajesh Exports Limited,EQ,9-Feb-00,1,1,INE343B01030,1
RAJMET.NS,Rajnandini Metal Limited,EQ,16-Feb-21,1,1,INE00KV01022,1
RAJRATAN.NS,Rajratan Global Wire Limited,EQ,22-May-20,2,1,INE451D01029,2
RAJRILTD.NS,Raj Rayon Industries Limited,BE,16-Mar-22,1,1,INE533D01032,1
RAJSREESUG.NS,Rajshree Sugars & Chemicals Limited,EQ,29-Mar-95,10,1,INE562B01019,10
RAJTV.NS,Raj Television Network Limited,EQ,16-Mar-07,5,1,INE952H01027,5
RALLIS.NS,Rallis India Limited,EQ,1-Apr-99,1,1,INE613A01020,1
RAMANEWS.NS,Shree Rama Newsprint Limited,EQ,20-Sep-06,10,1,INE278B01020,10
RAMAPHO.NS,Rama Phosphates Limited,EQ,5-Aug-22,10,1,INE809A01024,10
RAMASTEEL.NS,Rama Steel Tubes Limited,EQ,19-Aug-15,1,1,INE230R01035,1
RAMCOCEM.NS,The Ramco Cements Limited,EQ,9-Apr-97,1,1,INE331A01037,1
RAMCOIND.NS,Ramco Industries Limited,EQ,6-Nov-96,1,1,INE614A01028,1
RAMCOSYS.NS,Ramco Systems Limited,EQ,12-Apr-00,10,1,INE246B01019,10
RAMKY.NS,Ramky Infrastructure Limited,EQ,8-Oct-10,10,1,INE874I01013,10
RAMRAT.NS,Ram Ratna Wires Limited,EQ,29-Jul-22,5,1,INE207E01023,5
RANASUG.NS,Rana Sugars Limited,EQ,24-Feb-05,10,1,INE625B01014,10
RANEENGINE.NS,Rane Engine Valve Limited,EQ,24-Jun-08,10,1,INE222J01013,10
RANEHOLDIN.NS,Rane Holdings Limited,EQ,24-Sep-97,10,1,INE384A01010,10
RATEGAIN.NS,Rategain Travel Technologies Limited,EQ,17-Dec-21,1,1,INE0CLI01024,1
RATNAMANI.NS,Ratnamani Metals & Tubes Limited,EQ,9-May-06,2,1,INE703B01027,2
RAYMOND.NS,Raymond Limited,EQ,18-Oct-95,10,1,INE301A01014,10
RBA.NS,Restaurant Brands Asia Limited,EQ,14-Dec-20,10,1,INE07T201019,10
RBL.NS,Rane Brake Lining Limited,EQ,20-Jun-08,10,1,INE244J01017,10
RBLBANK.NS,RBL Bank Limited,EQ,31-Aug-16,10,1,INE976G01028,10
RCF.NS,Rashtriya Chemicals and Fertilizers Limited,EQ,7-Jan-98,10,1,INE027A01015,10
RECLTD.NS,REC Limited,EQ,12-Mar-08,10,1,INE020B01018,10
REDINGTON.NS,Redington Limited,EQ,15-Feb-07,2,1,INE891D01026,2
REFEX.NS,Refex Industries Limited,EQ,3-Dec-09,10,1,INE056I01017,10
REGENCERAM.NS,Regency Ceramics Limited,BE,5-Jun-96,10,1,INE277C01012,10
RELAXO.NS,Relaxo Footwears Limited,EQ,17-Jun-11,1,1,INE131B01039,1
RELCAPITAL.NS,Reliance Capital Limited,BE,29-Nov-95,10,1,INE013A01015,10
RELCHEMQ.NS,Reliance Chemotex Industries Limited,EQ,25-May-22,10,1,INE750D01016,10
RELIANCE.NS,Reliance Industries Limited,EQ,29-Nov-95,10,1,INE002A01018,10
RELIGARE.NS,Religare Enterprises Limited,EQ,21-Nov-07,10,1,INE621H01010,10
RELINFRA.NS,Reliance Infrastructure Limited,EQ,8-Feb-95,10,1,INE036A01016,10
REMSONSIND.NS,Remsons Industries Limited,EQ,31-Jan-96,10,1,INE474C01015,10
RENUKA.NS,Shree Renuka Sugars Limited,EQ,31-Oct-05,1,1,INE087H01022,1
REPCOHOME.NS,Repco Home Finance Limited,EQ,1-Apr-13,10,1,INE612J01015,10
REPL.NS,Rudrabhishek Enterprises Limited,EQ,14-Dec-20,10,1,INE364Z01019,10
REPRO.NS,Repro India Limited,EQ,22-Dec-05,10,1,INE461B01014,10
RESPONIND.NS,Responsive Industries Limited,EQ,29-Oct-10,1,1,INE688D01026,1
REVATHI.NS,Revathi Equipment Limited,EQ,11-Aug-05,10,1,INE617A01013,10
RGL.NS,Renaissance Global Limited,EQ,12-Dec-07,2,1,INE722H01024,2
RHFL.NS,Reliance Home Finance Limited,BE,22-Sep-17,10,1,INE217K01011,10
RHIM.NS,RHI MAGNESITA INDIA LIMITED,EQ,12-Mar-12,1,1,INE743M01012,1
RHL.NS,Robust Hotels Limited,BE,25-Apr-23,10,1,INE508K01013,10
RICOAUTO.NS,Rico Auto Industries Limited,EQ,12-May-03,1,1,INE209B01025,1
RIIL.NS,Reliance Industrial Infrastructure Limited,EQ,29-Nov-95,10,1,INE046A01015,10
RITCO.NS,Ritco Logistics Limited,EQ,12-Apr-22,10,1,INE01EG01016,10
RITES.NS,RITES Limited,EQ,2-Jul-18,10,1,INE320J01015,10
RKDL.NS,Ravi Kumar Distilleries Limited,BE,27-Dec-10,10,1,INE722J01012,10
RKEC.NS,RKEC Projects Limited,EQ,18-Dec-20,10,1,INE786W01010,10
RKFORGE.NS,Ramkrishna Forgings Limited,EQ,5-May-04,2,1,INE399G01023,2
RMCL.NS,Radha Madhav Corporation Limited,BZ,26-Nov-07,10,1,INE172H01014,10
RML.NS,Rane (Madras) Limited,EQ,30-Aug-05,10,1,INE050H01012,10
RNAVAL.NS,Reliance Naval and Engineering Limited,BZ,9-Oct-09,10,1,INE542F01012,10
ROHLTD.NS,Royal Orchid Hotels Limited,EQ,6-Feb-06,10,1,INE283H01019,10
ROLEXRINGS.NS,Rolex Rings Limited,EQ,9-Aug-21,10,1,INE645S01016,10
ROLLT.NS,Rollatainers Limited,EQ,22-Nov-16,1,1,INE927A01040,1
ROML.NS,Raj Oil Mills Limited,EQ,6-Oct-20,10,1,INE294G01026,10
ROSSARI.NS,Rossari Biotech Limited,EQ,23-Jul-20,2,1,INE02A801020,2
ROSSELLIND.NS,Rossell India Limited,EQ,25-Sep-12,2,1,INE847C01020,2
ROTO.NS,Roto Pumps Limited,EQ,21-Apr-22,2,1,INE535D01029,2
ROUTE.NS,ROUTE MOBILE LIMITED,EQ,21-Sep-20,10,1,INE450U01017,10
RPGLIFE.NS,RPG Life Sciences Limited,EQ,10-Jun-08,8,1,INE105J01010,8
RPOWER.NS,Reliance Power Limited,EQ,11-Feb-08,10,1,INE614G01033,10
RPPINFRA.NS,R.P.P. Infra Projects Limited,EQ,6-Dec-10,10,1,INE324L01013,10
RPPL.NS,Rajshree Polypack Limited,EQ,26-Nov-21,10,1,INE760W01015,10
RPSGVENT.NS,RPSG VENTURES LIMITED,EQ,25-Jan-19,10,1,INE425Y01011,10
RSSOFTWARE.NS,R. S. Software (India) Limited,EQ,19-May-99,5,1,INE165B01029,5
RSWM.NS,RSWM Limited,EQ,15-Feb-95,10,1,INE611A01016,10
RSYSTEMS.NS,R Systems International Limited,EQ,26-Apr-06,1,1,INE411H01032,1
RTNINDIA.NS,RattanIndia Enterprises Limited,EQ,30-Jul-12,2,1,INE834M01019,2
RTNPOWER.NS,RattanIndia Power Limited,EQ,30-Oct-09,10,1,INE399K01017,10
RUBYMILLS.NS,The Ruby Mills Limited,EQ,29-Mar-95,5,1,INE301D01026,5
RUCHINFRA.NS,Ruchi Infrastructure Limited,BE,16-Oct-96,1,1,INE413B01023,1
RUCHIRA.NS,Ruchira Papers Limited,EQ,20-Dec-06,10,1,INE803H01014,10
RUPA.NS,Rupa & Company Limited,EQ,7-Dec-11,1,1,INE895B01021,1
RUSHI-RE1.NS,Rushil Decor Limited-RE,BE,2-May-23,10,1,INE573K20025,10
RUSHIL.NS,Rushil Decor Limited,EQ,7-Jul-11,10,1,INE573K01017,10
RUSTOMJEE.NS,Keystone Realtors Limited,EQ,24-Nov-22,10,1,INE263M01029,10
RVHL.NS,Ravinder Heights Limited,EQ,18-Dec-20,1,1,INE09E501017,1
RVNL.NS,Rail Vikas Nigam Limited,EQ,11-Apr-19,10,1,INE415G01027,10
S&SPOWER.NS,S&S Power Switchgears Limited,BE,27-Sep-95,10,1,INE902B01017,10
SABEVENTS.NS,Sab Events & Governance Now Media Limited,EQ,15-Sep-16,10,1,INE860T01019,10
SABTN.NS,Sri Adhikari Brothers Television Network Limited,BE,16-Nov-07,10,1,INE416A01036,10
SADBHAV.NS,Sadbhav Engineering Limited,EQ,1-Mar-06,1,1,INE226H01026,1
SADBHIN.NS,Sadbhav Infrastructure Project Limited,EQ,16-Sep-15,10,1,INE764L01010,10
SAFARI.NS,Safari Industries (India) Limited,EQ,12-Sep-19,2,1,INE429E01023,2
SAGARDEEP.NS,Sagardeep Alloys Limited,EQ,25-Jan-19,10,1,INE976T01013,10
SAGCEM.NS,Sagar Cements Limited,EQ,29-Jan-07,2,1,INE229C01021,2
SAH.NS,Sah Polymers Limited,EQ,12-Jan-23,10,1,INE035801013,10
SAHYADRI.NS,Sahyadri Industries Limited,EQ,6-Apr-23,10,1,INE280H01015,10
SAIL.NS,Steel Authority of India Limited,EQ,6-Jul-95,10,1,INE114A01011,10
SAKAR.NS,Sakar Healthcare Limited,EQ,11-Apr-19,10,1,INE732S01012,10
SAKHTISUG.NS,Sakthi Sugars Limited,EQ,6-Sep-95,10,1,INE623A01011,10
SAKSOFT.NS,Saksoft Limited,EQ,9-May-05,1,1,INE667G01023,1
SAKUMA.NS,Sakuma Exports Limited,EQ,8-Mar-06,1,1,INE190H01024,1
SALASAR.NS,Salasar Techno Engineering Limited,EQ,25-Jul-17,1,1,INE170V01027,1
SALONA.NS,Salona Cotspin Limited,EQ,16-Jun-16,10,1,INE498E01010,10
SALSTEEL.NS,S.A.L. Steel Limited,EQ,24-Nov-04,10,1,INE658G01014,10
SALZERELEC.NS,Salzer Electronics Limited,EQ,2-Dec-15,10,1,INE457F01013,10
SAMBHAAV.NS,Sambhaav Media Limited,EQ,5-Jun-96,1,1,INE699B01027,1
SANCO.NS,Sanco Industries Limited,BZ,22-Nov-16,10,1,INE782L01012,10
SANDESH.NS,The Sandesh Limited,EQ,26-Nov-02,10,1,INE583B01015,10
SANDHAR.NS,Sandhar Technologies Limited,EQ,2-Apr-18,10,1,INE278H01035,10
SANGAMIND.NS,Sangam (India) Limited,EQ,17-Jul-96,10,1,INE495C01010,10
SANGHIIND.NS,Sanghi Industries Limited,EQ,10-May-95,10,1,INE999B01013,10
SANGHVIMOV.NS,Sanghvi Movers Limited,EQ,24-Jan-07,2,1,INE989A01024,2
SANGINITA.NS,Sanginita Chemicals Limited,EQ,15-Jul-19,10,1,INE753W01010,10
SANOFI.NS,Sanofi India Limited,EQ,19-May-03,10,1,INE058A01010,10
SANSERA.NS,Sansera Engineering Limited,EQ,24-Sep-21,2,1,INE953O01021,2
SAPPHIRE.NS,Sapphire Foods India Limited,EQ,18-Nov-21,10,1,INE806T01012,10
SARDAEN.NS,Sarda Energy & Minerals Limited,EQ,3-Dec-09,10,1,INE385C01013,10
SAREGAMA.NS,Saregama India Limited,EQ,30-Jul-97,1,1,INE979A01025,1
SARLAPOLY.NS,Sarla Performance Fibers Limited,EQ,19-Jan-07,1,1,INE453D01025,1
SARVESHWAR.NS,Sarveshwar Foods Limited,EQ,8-Dec-22,10,1,INE324X01018,10
SASKEN.NS,Sasken Technologies Limited,EQ,9-Sep-05,10,1,INE231F01020,10
SASTASUNDR.NS,Sastasundar Ventures Limited,EQ,5-Oct-10,10,1,INE019J01013,10
SATIA.NS,Satia Industries Limited,EQ,17-Jul-19,1,1,INE170E01023,1
SATIN.NS,Satin Creditcare Network Limited,EQ,26-Aug-15,10,1,INE836B01017,10
SATINDLTD.NS,Sat Industries Limited,EQ,21-Nov-22,2,1,INE065D01027,2
SBC.NS,SBC Exports Limited,EQ,23-Nov-21,1,1,INE04AK01028,1
SBCL.NS,Shivalik Bimetal Controls Limited,EQ,24-Jun-21,2,1,INE386D01027,2
SBGLP.NS,Suratwwala Business Group Limited,EQ,10-Feb-23,10,1,INE05ST01010,10
SBICARD.NS,SBI Cards and Payment Services Limited,EQ,16-Mar-20,10,1,INE018E01016,10
SBILIFE.NS,SBI Life Insurance Company Limited,EQ,3-Oct-17,10,1,INE123W01016,10
SBIN.NS,State Bank of India,EQ,1-Mar-95,1,1,INE062A01020,1
SCAPDVR.NS,Stampede Capital Limited,EQ,10-Oct-17,1,1,INE224E01036,1
SCHAEFFLER.NS,Schaeffler India Limited,EQ,29-Nov-00,2,1,INE513A01022,2
SCHAND.NS,S Chand And Company Limited,EQ,9-May-17,5,1,INE807K01035,5
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,EQ,20-Mar-12,2,1,INE839M01018,2
SCI.NS,Shipping Corporation Of India Limited,EQ,13-Aug-97,10,1,INE109A01011,10
SCPL.NS,Sheetal Cool Products Limited,EQ,22-Nov-22,10,1,INE501Y01019,10
SDBL.NS,Som Distilleries & Breweries Limited,EQ,18-Mar-14,5,1,INE480C01020,5
