,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SYMBOL1
59,AIAENG.NS,AIA Engineering Limited,EQ,14-Dec-05,2.0,1,INE212H01026,2,AIAENG
60,AIRAN.NS,Airan Limited,EQ,3-May-19,2.0,1,INE645W01026,2,AIRAN
61,AIROLAM.NS,Airo Lam limited,EQ,13-Oct-21,10.0,1,INE801L01010,10,AIROLAM
62,AJANTPHARM.NS,Ajanta Pharma Limited,EQ,29-May-00,2.0,1,INE031B01049,2,AJANTPHARM
63,AJMERA.NS,Ajmera Realty & Infra India Limited,EQ,16-Jun-09,10.0,1,INE298G01027,10,AJMERA
64,AJOONI.NS,Ajooni Biotech Limited,EQ,7-May-21,2.0,1,INE820Y01021,2,AJOONI
65,AKASH.NS,Akash Infra-Projects Limited,EQ,11-Oct-19,10.0,1,INE737W01013,10,AKASH
66,AKG.NS,Akg Exim Limited,EQ,16-Feb-21,10.0,1,INE00Y801016,10,AKG
67,AKI.NS,AKI India Limited,EQ,6-Apr-23,10.0,1,INE642Z01018,10,AKI
68,AKSHAR.NS,Akshar Spintex Limited,BE,23-May-22,10.0,1,INE256Z01017,10,AKSHAR
