Ticker,Name,Exchange,Category
FACT.NS,The Fertilisers And Chemicals Travancore Limited,NSI,Agricultural Chemicals
ARORAFIB.BO,Arora Fibres,BSE,
AJWAFUN.BO,Ajwa Fun World & Resort Ltd,BSE,
ADMANUM.BO,Ad-Manum Finance Ltd,BSE,
ZSUBWAYF.BO,"Subway Finance & Investment Co., Ltd.",BSE,
ZSIYARPO.BO,SIYARAM PODDAR FINANCE & TRADI,BSE,
ZSHERAPR.BO,SHERATON PROPERTIES & FINANCE,BSE,
ZSAMPKTR.BO,SAMPARK TRADING & FINANCE LTD.,BSE,
ZNIVEMER.BO,Nivedita Mercantile & Financing Ltd.,BSE,
WSFIN.BO,Wall Street Finance Ltd.,BSE,
WEIZFOREX.NS,Weizmann Forex Limited,NSI,Investment Brokerage - National
WEIZFOREX.BO,WEIZMANN FOREX LTD.,BSE,
WALLFORT.BO,Wallfort Financial Services Limited,BSE,
VOITHPAPR.BO,Voith Paper Fabrics India Limited,BSE,
VBCFERROQ.BO,VBC Ferro Alloys Limited,BSE,
VAXHS.BO,Vax Housing Finance Corporation Ltd.,BSE,
UPASAFN.BO,Upasana Finance Ltd,BSE,
TIRFOAM.BO,Tirupati Foam Limited,BSE,
GSPL.NS,Gujarat State Petronet Limited,NSI,Gas Utilities
GAYAPROJ.BO,Gayatri Projects Limited,BSE,
GAIL.NS,GAIL (India) Limited,NSI,Gas Utilities
TAJGVK.BO,TAJGVK Hotels & Resorts Limited,BSE,
POWERGRID.NS,Power Grid Corporation of India Limited,NSI,Electric Utilities
ONGC.BO,Oil and Natural Gas Corp. Ltd.,BSE,
VHL.NS,Vardhman Holdings Limited,NSI,Credit Services
HINDUNILVR.NS,Hindustan Unilever Limited,NSI,Personal Products
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,NSI,
HCC.NS,Hindustan Construction Company Limited,NSI,General Contractors
PAPERPROD.BO,Huhtamaki PPL Limited,BSE,
ITHL.BO,International Travel House Limited,BSE,
HIRECT.NS,Hind Rectifiers Limited,NSI,Diversified Electronics
HESTERBIO.BO,Hester Biosciences Ltd,BSE,
HCC.BO,Hindustan Construction Company Limited,BSE,
