TICKER,NAME,SERIES,SYMBOL,SLUG
ALPA.NS,Alpa Laboratories Limited,EQ,ALPA,alpa
ALPHAGEO.NS,Alphageo (India) Limited,EQ,ALPHAGEO,alphageo
ALPSINDUS.NS,Alps Industries Limited,EQ,ALPSINDUS,alpsindus
AMARAJABAT.NS,Amara Raja Batteries Limited,EQ,AMARAJABAT,amarajabat
AMBER.NS,Amber Enterprises India Limited,EQ,AMBER,amber
AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,EQ,AMBICAAGAR,ambicaagar
AMBIKCO.NS,Ambika Cotton Mills Limited,EQ,AMBIKCO,ambikco
AMBUJACEM.NS,Ambuja Cements Limited,EQ,AMBUJACEM,ambujacem
AMDIND.NS,AMD Industries Limited,EQ,AMDIND,amdind
AMIORG.NS,Ami Organics Limited,EQ,AMIORG,amiorg
AMJLAND.NS,Amj Land Holdings Limited,EQ,AMJLAND,amjland
AMRUTANJAN.NS,Amrutanjan Health Care Limited,EQ,AMRUTANJAN,amrutanjan
ANANDRATHI.NS,Anand Rathi Wealth Limited,EQ,ANANDRATHI,anandrathi
ANANTRAJ.NS,Anant Raj Limited,EQ,ANANTRAJ,anantraj
ANDHRAPAP.NS,ANDHRA PAPER LIMITED,EQ,ANDHRAPAP,andhrapap
ANDHRSUGAR.NS,The Andhra Sugars Limited,EQ,ANDHRSUGAR,andhrsugar
ANDREWYU.NS,Andrew Yule & Company Limited,EQ,ANDREWYU,andrewyu
ANGELONE.NS,Angel One Limited,EQ,ANGELONE,angelone
ANIKINDS.NS,Anik Industries Limited,EQ,ANIKINDS,anikinds
ANKITMETAL.NS,Ankit Metal & Power Limited,EQ,ANKITMETAL,ankitmetal
ANMOL.NS,Anmol India Limited,EQ,ANMOL,anmol
ANTGRAPHIC.NS,Antarctica Limited,BE,ANTGRAPHIC,antgraphic
ANUP.NS,The Anup Engineering Limited,EQ,ANUP,anup
ANURAS.NS,Anupam Rasayan India Limited,EQ,ANURAS,anuras
APARINDS.NS,Apar Industries Limited,EQ,APARINDS,aparinds
APCL.NS,Anjani Portland Cement Limited,EQ,APCL,apcl
APCOTEXIND.NS,Apcotex Industries Limited,EQ,APCOTEXIND,apcotexind
APEX.NS,Apex Frozen Foods Limited,EQ,APEX,apex
APLAPOLLO.NS,APL Apollo Tubes Limited,EQ,APLAPOLLO,aplapollo
APLLTD.NS,Alembic Pharmaceuticals Limited,EQ,APLLTD,aplltd
APOLLO.NS,Apollo Micro Systems Limited,EQ,APOLLO,apollo
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,EQ,APOLLOHOSP,apollohosp
APOLLOPIPE.NS,Apollo Pipes Limited,EQ,APOLLOPIPE,apollopipe
APOLLOTYRE.NS,Apollo Tyres Limited,EQ,APOLLOTYRE,apollotyre
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,EQ,APOLSINHOT,apolsinhot
APTECHT.NS,Aptech Limited,EQ,APTECHT,aptecht
APTUS.NS,Aptus Value Housing Finance India Limited,EQ,APTUS,aptus
ARCHIDPLY.NS,Archidply Industries Limited,EQ,ARCHIDPLY,archidply
ARCHIES.NS,Archies Limited,EQ,ARCHIES,archies
ARENTERP.NS,Rajdarshan Industries Limited,EQ,ARENTERP,arenterp
ARIES.NS,Aries Agro Limited,EQ,ARIES,aries
ARIHANTCAP.NS,Arihant Capital Markets Limited,EQ,ARIHANTCAP,arihantcap
ARIHANTSUP.NS,Arihant Superstructures Limited,EQ,ARIHANTSUP,arihantsup
ARMANFIN.NS,Arman Financial Services Limited,EQ,ARMANFIN,armanfin
AROGRANITE.NS,Aro Granite Industries Limited,EQ,AROGRANITE,arogranite
ARROWGREEN.NS,Arrow Greentech Limited,EQ,ARROWGREEN,arrowgreen
ARSHIYA.NS,Arshiya Limited,EQ,ARSHIYA,arshiya
ARTEMISMED.NS,Artemis Medicare Services Limited,EQ,ARTEMISMED,artemismed
ARTNIRMAN.NS,Art Nirman Limited,EQ,ARTNIRMAN,artnirman
ARVEE.NS,Arvee Laboratories (India) Limited,EQ,ARVEE,arvee
ARVIND.NS,Arvind Limited,EQ,ARVIND,arvind
ARVINDFASN.NS,Arvind Fashions Limited,EQ,ARVINDFASN,arvindfasn
ARVSMART.NS,Arvind SmartSpaces Limited,EQ,ARVSMART,arvsmart
ASAHIINDIA.NS,Asahi India Glass Limited,EQ,ASAHIINDIA,asahiindia
ASAHISONG.NS,Asahi Songwon Colors Limited,EQ,ASAHISONG,asahisong
ASAL.NS,Automotive Stampings and Assemblies Limited,EQ,ASAL,asal
ASALCBR.NS,Associated Alcohols & Breweries Ltd.,EQ,ASALCBR,asalcbr
ASHAPURMIN.NS,Ashapura Minechem Limited,EQ,ASHAPURMIN,ashapurmin
ASHIANA.NS,Ashiana Housing Limited,EQ,ASHIANA,ashiana
ASHIMASYN.NS,Ashima Limited,EQ,ASHIMASYN,ashimasyn
ASHOKA.NS,Ashoka Buildcon Limited,EQ,ASHOKA,ashoka
ASHOKLEY.NS,Ashok Leyland Limited,EQ,ASHOKLEY,ashokley
ASIANENE.NS,Asian Energy Services Limited,BE,ASIANENE,asianene
ASIANHOTNR.NS,Asian Hotels (North) Limited,BE,ASIANHOTNR,asianhotnr
